candidate_id,title,score,explanation
CAND_0046064,Senior NLP Engineer,90.83,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0018499,Senior Machine Learning Engineer,90.38,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0002025,Senior AI Engineer,89.96,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0077337,Staff Machine Learning Engineer,86.47,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0079387,AI Engineer,86.46,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0039754,Senior Applied Scientist,85.86,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0051292,Applied ML Engineer,85.85,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0011687,Senior NLP Engineer,85.0,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0042506,Search Engineer,84.86,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0068811,Applied ML Engineer,84.81,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0046525,Senior Machine Learning Engineer,84.72,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0081846,Lead AI Engineer,84.54,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0040887,Machine Learning Engineer,84.51,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0093912,Senior Data Scientist,83.88,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0071974,Senior AI Engineer,83.84,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0055992,AI Engineer,83.57,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0050876,Applied ML Engineer,82.77,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0080534,ML Engineer,82.58,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0068932,ML Engineer,81.87,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0020708,Search Engineer,81.47,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0065195,Search Engineer,81.43,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0053695,Recommendation Systems Engineer,81.41,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0064326,Search Engineer,81.35,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0036184,Recommendation Systems Engineer,81.08,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0096142,Applied ML Engineer,80.93,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0098846,AI Engineer,80.86,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0055905,Senior Machine Learning Engineer,80.84,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0081852,Senior Data Scientist,80.77,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0027691,NLP Engineer,80.68,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0052682,NLP Engineer,80.56,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0062247,AI Engineer,80.53,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0041610,Recommendation Systems Engineer,80.46,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0066999,Recommendation Systems Engineer,80.44,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0099806,AI Engineer,80.39,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0016163,Applied ML Engineer,80.35,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0037944,Senior Data Scientist,80.08,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0005509,Data Scientist,80.06,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0086022,Senior Applied Scientist,79.89,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0013613,Machine Learning Engineer,79.71,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0052328,Recommendation Systems Engineer,79.68,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0074735,Applied ML Engineer,79.63,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
